,1,2,3,4,5,6,7,8,sum,1_norm,2_norm,3_norm,4_norm,5_norm,6_norm,7_norm,8_norm,sum_norm,1_est,2_est,3_est,4_est,5_est,6_est,7_est,8_est
0,347.64899753528783,189.5847807817188,4337.2109300619895,1923.99187120122,3396.980053534083,796.8924056657413,972.2346484688586,1028.719053168079,12993.262740416978,0.026756096946603507,0.014591006475378537,0.3338046044871098,0.14807611526367667,0.2614416502921473,0.061331200760446375,0.07482605931184746,0.07917326646279035,1.0,104.10821364304182,56.77373730694854,1298.836715546682,576.1654950670778,1017.2718105381007,238.64025326621416,291.1488691512467,308.06389123851613
1,332.78091618508483,181.90800980950004,3178.899199772035,1503.6803829063629,2816.6370318855475,755.9349266626813,675.644273438974,992.2598545519204,10437.744595212105,0.03188245440856396,0.01742790390684047,0.3045580556962686,0.14406181040261473,0.26985111641623866,0.07242320596821616,0.0647308685584143,0.0950645846428432,1.0,124.05417567105084,67.81172569501562,1185.0310537331163,560.5424509091472,1049.9868476856418,281.79766214700464,251.86688692725775,369.8949438538517
2,334.0640480037641,209.7042805580522,3399.892214899557,1643.366962385258,2840.9605298193947,909.9620166784154,691.3514655191084,1039.6926932750198,11068.994211138568,0.03018016286137365,0.01894519741884315,0.3071545752077723,0.14846578930645402,0.2566593202262747,0.0822081933842493,0.0624583817040406,0.09392837989099245,1.0000000000000002,117.43295197013667,73.71697988413386,1195.158178683875,577.6899211881755,998.6778985674503,319.87736015831615,243.02957450804243,365.48135856777895
3,316.79545029405386,190.62524640534352,3251.5316082703357,1548.3790117698195,2718.5666656593708,805.4771162823581,680.4304425189318,977.0232601872316,10488.828801387444,0.03020312909027066,0.018174121249850884,0.30999949277847194,0.14762172603722948,0.2591868660588457,0.07679380906434577,0.06487191805713577,0.09314893766384981,1.0,117.52080126463635,70.71576210463398,1206.212398525705,574.3982180161709,1008.4997513160835,298.805794142455,252.41754809121028,362.4438301901518
4,341.6977284971492,219.48107665652117,3509.307657654347,1707.0148477393163,2944.347208142549,967.6880750587876,700.4649518857615,1111.0361433813985,11501.037689015831,0.029710165094362806,0.019083589028330766,0.30512965460550945,0.14842268096987596,0.25600709151267054,0.0841391969337677,0.060904500169993075,0.0966031216854896,0.9999999999999999,115.60503325464987,74.25603113383053,1187.2880462163005,577.5265440218784,996.1475553484536,327.3934907010439,236.9851108247732,375.89178853378326
5,335.73162558001894,196.02197210716503,4432.071584661961,1980.433712532172,3388.929998782935,837.1440019560516,977.057006182216,1078.8944516428485,13226.28435344537,0.025383669109802772,0.014820637971245677,0.3350957431599021,0.14973469945217688,0.25622691212593945,0.06329396673964449,0.07387237262350997,0.08157199881777855,0.9999999999999999,98.77180126252352,57.66940555155471,1303.9096122839683,582.6409851317596,997.018734097815,246.28666080076846,287.4488820350488,317.40932411953537
6,419.5386356524514,241.2124935226973,6821.640264457168,2890.166840553634,5009.9558640901605,1001.720680846747,1554.834835305154,1431.803911635801,19370.873526063813,0.021658219753897808,0.012452329173392316,0.35215966152886935,0.14920167831692613,0.25863345075012684,0.05171272630007708,0.08026663501845177,0.07391529915825873,1.0,84.27491648929364,48.45361313669234,1370.2985011453777,580.562905127901,1006.3759953946408,201.22086394420182,312.32779240035376,287.613928320325
7,402.5732484700891,184.2743649006788,7009.23169756409,2833.6344003772897,5411.588185893381,735.054915453306,1646.976919132121,1430.102723223984,19653.43645501494,0.02048360597860559,0.00937619053657447,0.35664153256900544,0.1441800983183394,0.2753507356476843,0.037400834054430364,0.08380096391294788,0.07276603898241249,1.0,79.7016195038979,36.48271555909799,1387.6906125703993,561.004119499527,1071.388484314326,145.52647849446475,326.06917682490615,283.1323331370215
8,437.6564886748324,183.70908297902565,6754.963558382819,2709.7484852314496,5699.0041231987725,658.4252317799009,1597.2682022367874,1601.3659978044195,19642.141170288007,0.022281506118938824,0.009352803311327183,0.34390158892660955,0.13795586039929258,0.2901416945225636,0.0335210518075228,0.08131843613123604,0.08152705878250946,1.0,86.69636110385532,36.39134665690062,1338.1059690766954,536.7801900700123,1128.9285825356337,130.42893943402993,316.4064612868369,317.2182028546059
9,369.5657756410394,170.29185022450935,5453.56124165943,2167.6284458427854,4713.884221972261,459.9094518947801,1314.8546107421423,1290.1150190144454,15939.810616991394,0.023185079454274858,0.01068342995512023,0.3421346321295741,0.13598834377192373,0.2957302527137551,0.028852880560859953,0.08248872225248047,0.08093665916201154,1.0,90.21407721376924,41.56965589787562,1331.2596224357983,529.1361183129757,1150.6983146373095,112.26771941370909,320.9669379493263,314.9277980032956
10,338.99673032485606,180.15782618676755,6504.1721565875305,2544.0985449348905,4885.963853964835,518.6339524027841,1584.1844828280266,1114.1351076105852,17670.34265484028,0.019184502357796538,0.010195491378171918,0.36808409908258916,0.143975620316452,0.276506457707342,0.029350531709169733,0.08965216542612348,0.06305113202235499,0.9999999999999998,74.64755985119432,39.671008331114066,1432.2279152252336,560.2141006444949,1075.896156491246,114.2039304206517,348.8396654561115,245.33412770081796
11,318.8718952790128,157.479276896822,6443.641225782997,2474.238778744889,4817.997505728089,403.7067183966481,1595.836440567235,1022.4193861856522,17234.191227581345,0.018502283691078866,0.00913760760904141,0.3738870679043348,0.14356570297219132,0.27956040652592024,0.023424755653782107,0.0925971181063189,0.05932505753733238,1.0,71.99153737922911,35.554012181761934,1454.7774358050492,558.6075667449219,1087.7567219373736,91.14465005537002,360.29114030794784,230.83107839726063
