Date,Hours,HRSG_FW HTR_Tin,HRSG_FW HTR_Tout,HRSG_Eco_Tout,HRSG_Ste_T,HRSG_Ste_p,CTG_output,NOx_PPM,CO_PPM,CampusLoad_1,CampusLoad_2
2-21-2017,02:00:00,235.8373870849609,225.2256774902344,95.5319595336914,189.22848510742188,131.63827514648438,-0.0302176475524902,74.13787841796875,23.709487915039062,5.213239669799805,5.997086524963379
2-21-2017,03:00:00,235.7711944580078,224.6728057861328,95.26607513427734,189.22848510742188,130.38577270507812,-0.0302176475524902,74.13787841796875,23.709487915039062,5.206344604492188,6.119594573974609
2-21-2017,04:00:00,235.95404052734372,224.99240112304688,95.06068420410156,189.03082275390625,130.60357666015625,-0.0302176475524902,74.13787841796875,23.709487915039062,5.301143169403076,6.232767105102539
2-21-2017,05:00:00,235.7015686035156,224.28585815429688,95.1107940673828,188.88055419921875,130.60357666015625,-0.0302176475524902,74.13787841796875,23.709487915039062,5.508862495422363,6.623834133148193
2-21-2017,06:00:00,235.48358154296875,224.2774810791016,94.66011810302734,188.88055419921875,130.60357666015625,-0.0302176475524902,74.13787841796875,23.709487915039062,5.65522050857544,7.165695667266846
2-21-2017,07:00:00,235.4786834716797,224.29617309570312,94.50390625,188.73028564453125,130.47833251953125,-0.0377717018127441,74.13787841796875,23.709487915039062,5.8453049659729,7.3218674659729
2-21-2017,08:00:00,235.66360473632807,224.4849395751953,94.50220489501952,189.18109130859372,130.85400390625,-0.0302176475524902,74.13787841796875,23.709487915039062,6.334275722503662,7.785406589508057
2-21-2017,09:00:00,235.6490478515625,224.12864685058597,94.18257904052734,188.92788696289065,130.88677978515625,-0.0302100181579589,74.13787841796875,23.709487915039062,6.655803203582764,8.30096435546875
2-21-2017,10:00:00,235.6980133056641,224.2431488037109,93.4988784790039,187.97897338867188,130.60357666015625,-0.0302176475524902,74.13787841796875,23.709487915039062,6.957971096038818,8.454426765441895
2-21-2017,11:00:00,235.55406188964844,224.39601135253903,92.64860534667967,186.82366943359372,130.38577270507812,-0.0302176475524902,74.13787841796875,23.709487915039062,7.119747161865234,8.520881652832031
2-21-2017,12:00:00,235.1156005859375,224.3958740234375,92.23845672607422,185.7715759277344,129.884765625,-0.0302176475524902,74.13787841796875,23.709487915039062,7.308289051055908,8.608872413635254
2-21-2017,13:00:00,235.29342651367188,224.9310760498047,92.09101104736328,185.17037963867188,130.51101684570312,-0.0302176475524902,74.13787841796875,23.709487915039062,7.387115001678467,8.695380210876465
2-21-2017,14:00:00,235.7671661376953,225.1807403564453,91.55331420898438,184.67318725585935,129.97747802734375,-0.0302176475524902,74.13787841796875,23.709487915039062,7.466698169708252,8.73370361328125
2-21-2017,15:00:00,235.72840881347656,225.4774169921875,91.3770980834961,184.52294921875,128.85049438476562,-0.0302176475524902,74.13787841796875,23.709487915039062,7.480916023254394,8.935267448425293
2-21-2017,16:00:00,235.78872680664065,224.91343688964844,91.2599868774414,184.0721435546875,130.35311889648438,-0.0302176475524902,74.13787841796875,23.709487915039062,7.3222808837890625,8.81103801727295
2-21-2017,17:00:00,235.7025146484375,224.4732360839844,90.73631286621094,183.32083129882807,131.10443115234375,-0.0302176475524902,74.13787841796875,23.709487915039062,7.124614238739014,8.50208854675293
2-21-2017,18:00:00,235.6382598876953,224.5687561035156,90.33831024169922,182.56951904296875,129.3513641357422,-0.0302176475524902,74.13787841796875,23.709487915039062,6.932041645050049,8.10105037689209
2-21-2017,19:00:00,235.51287841796875,224.3703765869141,90.02098846435547,181.71343994140625,130.88677978515625,-0.0302176475524902,74.13787841796875,23.709487915039062,6.699991703033447,7.828113555908203
2-21-2017,20:00:00,235.5863494873047,224.06594848632807,89.681640625,180.766357421875,130.72879028320312,-0.0377717018127441,74.13787841796875,23.709487915039062,6.471256256103516,7.582518100738525
2-21-2017,21:00:00,235.2641143798828,223.95904541015625,89.31340026855469,180.06015014648438,128.6322784423828,-0.0377717018127441,74.13787841796875,23.709487915039062,6.130919933319092,7.25381326675415
2-21-2017,22:00:00,235.3598175048828,223.6427001953125,88.94857025146484,178.96319580078125,128.22438049316406,-0.0377717018127441,74.13787841796875,23.709487915039062,5.85410213470459,6.985740661621094
2-21-2017,23:00:00,235.2895050048828,223.37033081054688,89.01588439941406,177.911376953125,130.47833251953125,-0.0302176475524902,74.13787841796875,23.709487915039062,5.520317077636719,6.582870960235596
2-22-2017,01:00:00,235.2713928222656,223.5599670410156,88.2294692993164,175.85174560546875,129.759521484375,-0.0302176475524902,74.13787841796875,23.709487915039062,5.135023593902588,6.0221757888793945
2-22-2017,02:00:00,235.1736602783203,223.31224060058597,87.67696380615234,175.1002197265625,131.26254272460938,-0.0302176475524902,74.13787841796875,23.709487915039062,5.047916889190674,5.954152584075928
2-22-2017,03:00:00,235.13804626464844,223.5215301513672,87.17084503173828,174.3050537109375,130.47833251953125,-0.0302176475524902,74.13787841796875,23.709487915039062,5.024805068969727,6.122057914733887
2-22-2017,04:00:00,235.21731567382807,223.5937042236328,86.65933227539062,173.74752807617188,131.13726806640625,-0.0302176475524902,74.13787841796875,23.709487915039062,5.0578389167785645,6.2488298416137695
2-22-2017,05:00:00,235.14540100097656,223.51104736328125,86.49065399169922,172.99603271484375,130.63629150390625,-0.0302176475524902,74.13787841796875,23.709487915039062,5.276360988616943,6.557226181030273
2-22-2017,06:00:00,235.08274841308597,223.2921295166016,86.08055114746094,172.54510498046875,130.88677978515625,-0.0377717018127441,74.13787841796875,23.709487915039062,5.502004623413086,6.9351487159729
2-22-2017,07:00:00,234.9556427001953,222.8983612060547,85.82271575927734,172.2445068359375,124.24850463867188,-0.0302176475524902,74.13787841796875,23.709487915039062,5.6792988777160645,7.16655969619751
2-22-2017,08:00:00,235.32872009277344,223.29388427734372,85.27674865722656,171.75057983398438,130.97921752929688,-0.0302176475524902,74.13787841796875,23.709487915039062,6.069253444671631,7.816110610961914
2-22-2017,09:00:00,235.37387084960935,223.34701538085935,85.21807861328125,172.69540405273438,130.51101684570312,-0.0302176475524902,74.13787841796875,23.709487915039062,6.377685546875,7.988163471221924
2-22-2017,10:00:00,235.49269104003903,223.54312133789065,85.03195190429688,173.44692993164062,131.26254272460938,-0.0302176475524902,74.13787841796875,23.709487915039062,6.659041881561279,8.246545791625977
2-22-2017,11:00:00,235.38082885742188,223.8819274902344,85.1260986328125,174.19842529296875,132.0140380859375,-0.0302100181579589,74.13787841796875,23.709487915039062,6.772450923919678,8.454018592834473
2-22-2017,12:00:00,235.7177581787109,224.36618041992188,85.21624755859375,175.20663452148438,131.10443115234375,-0.0302176475524902,74.13787841796875,23.709487915039062,6.885849475860596,8.398579597473145
2-22-2017,13:00:00,235.6695709228516,224.52389526367188,85.36222839355469,175.95794677734375,129.10093688964844,-0.0302176475524902,74.13787841796875,23.709487915039062,6.993953704833984,8.656349182128906
2-22-2017,14:00:00,235.43707275390625,224.3574981689453,85.3896255493164,176.60324096679688,52.71725463867188,-0.0302176475524902,74.13787841796875,23.709487915039062,7.043696403503418,8.700339317321777
2-22-2017,15:00:00,235.51974487304688,224.1619415283203,85.4461898803711,175.85174560546875,126.12725830078124,-0.0302176475524902,74.13787841796875,23.709487915039062,6.9962921142578125,8.71706485748291
2-22-2017,16:00:00,235.47003173828125,224.43716430664065,85.57141876220703,176.90383911132812,131.01202392578125,-0.0377717018127441,74.13787841796875,23.709487915039062,6.9941277503967285,8.641844749450684
2-22-2017,17:00:00,235.4849090576172,224.3467254638672,85.44979858398438,177.310302734375,129.601806640625,-0.0302176475524902,74.13787841796875,23.709487915039062,6.86041784286499,8.458902359008789
2-22-2017,18:00:00,235.45957946777344,223.58859252929688,85.35551452636719,177.00979614257812,128.6000518798828,-0.0302176475524902,74.13787841796875,23.709487915039062,6.679901599884033,7.97838544845581
2-22-2017,19:00:00,235.2917633056641,223.4014434814453,85.13239288330078,176.60324096679688,130.01004028320312,-0.0302176475524902,74.13787841796875,23.709487915039062,6.58301305770874,7.571239471435547
2-22-2017,20:00:00,235.24920654296875,222.9847412109375,84.54442596435547,176.00204467773438,130.38577270507812,-0.0302176475524902,74.13787841796875,23.709487915039062,6.364409923553467,7.402745723724365
2-22-2017,21:00:00,235.31637573242188,223.4076995849609,84.4979019165039,175.1002197265625,132.64028930664062,-0.0302176475524902,74.13787841796875,23.709487915039062,6.185330867767334,7.159609794616699
2-22-2017,22:00:00,235.4099273681641,223.17979431152344,83.92235565185547,174.4990234375,135.27053833007812,-0.0302176475524902,74.13787841796875,23.709487915039062,5.972918510437012,7.037830829620361
2-22-2017,23:00:00,234.9026031494141,222.32960510253903,83.3565902709961,173.10293579101562,130.97921752929688,-0.0302176475524902,74.13787841796875,23.709487915039062,5.575020790100098,6.563195705413818
2-23-2017,01:00:00,235.2140655517578,222.30758666992188,83.63243865966797,169.53909301757812,130.38577270507812,-0.0302176475524902,74.13787841796875,23.709487915039062,5.258213520050049,6.267463207244873
2-23-2017,02:00:00,234.8349456787109,221.77340698242188,83.43896484375,168.1864013671875,129.884765625,-0.0302176475524902,74.13787841796875,23.709487915039062,5.138306140899658,6.17051887512207
2-23-2017,03:00:00,234.81085205078125,221.80712890625,83.47452545166016,166.64163208007812,130.2279052734375,-0.0377717018127441,74.13787841796875,23.709487915039062,5.164535999298096,6.26451301574707
2-23-2017,04:00:00,234.8473358154297,221.61407470703125,83.67778015136719,165.63128662109375,130.51101684570312,-0.0302176475524902,74.13787841796875,23.709487915039062,5.271818161010742,6.323421001434326
2-23-2017,05:00:00,234.61798095703125,221.30911254882807,83.8363265991211,164.57919311523438,130.38577270507812,-0.0302176475524902,74.13787841796875,23.709487915039062,5.442909240722656,6.607040882110596
2-23-2017,06:00:00,234.73239135742188,221.41673278808597,84.14192962646484,163.82769775390625,130.38577270507812,-0.0302176475524902,74.13787841796875,23.709487915039062,5.607517242431641,7.193436622619629
2-23-2017,07:00:00,234.6747894287109,222.2767333984375,84.31398010253906,163.78665161132812,130.85400390625,-0.0302176475524902,74.13787841796875,23.709487915039062,5.697444915771484,7.739649295806885
2-23-2017,08:00:00,234.6203765869141,222.3189392089844,84.06867218017578,165.3306884765625,130.63629150390625,-0.0302176475524902,74.13787841796875,23.709487915039062,6.232612133026123,8.27486515045166
2-23-2017,09:00:00,234.5278167724609,222.2956695556641,83.60298919677734,167.24270629882812,131.4801025390625,-0.0302176475524902,74.13787841796875,23.709487915039062,6.702664375305176,8.789861679077148
2-23-2017,10:00:00,234.56265258789065,222.52474975585935,83.35690307617188,169.08819580078125,131.38778686523438,-0.0302176475524902,74.13787841796875,23.709487915039062,6.952576160430908,9.080487251281738
2-23-2017,11:00:00,234.61636352539065,222.81344604492188,83.14630889892578,171.19241333007812,131.01202392578125,-0.0302100181579589,74.13787841796875,23.709487915039062,7.114584445953369,9.1519193649292
2-23-2017,12:00:00,234.82569885253903,222.8758544921875,83.38284301757812,172.80242919921875,130.2279052734375,-0.0302176475524902,74.13787841796875,23.709487915039062,7.269555568695068,9.160454750061035
2-23-2017,13:00:00,234.8497009277344,223.04428100585935,83.53073120117188,174.19842529296875,130.63629150390625,-0.0302176475524902,74.13787841796875,23.709487915039062,7.216429233551025,9.179908752441406
2-23-2017,14:00:00,234.96456909179688,223.43557739257807,83.6325912475586,175.25051879882812,132.1392822265625,-0.0302176475524902,74.13787841796875,23.709487915039062,7.266807556152344,9.15427589416504
2-23-2017,15:00:00,234.7433319091797,222.8446807861328,83.4697494506836,176.15234375,131.01202392578125,-0.0302176475524902,74.13787841796875,23.709487915039062,7.248020648956299,9.198407173156738
2-23-2017,16:00:00,235.02859497070312,222.87286376953125,83.54756927490234,176.55899047851562,129.72703552246094,-0.0302176475524902,74.13787841796875,23.709487915039062,7.197004318237305,9.0391845703125
2-23-2017,17:00:00,235.21429443359372,223.0565643310547,82.26385498046875,176.25848388671875,130.35311889648438,-0.0302100181579589,74.13787841796875,23.709487915039062,7.117044448852539,8.533886909484863
2-23-2017,18:00:00,235.11378479003903,222.9004364013672,80.56105041503906,175.95794677734375,130.10269165039062,-0.0302176475524902,74.13787841796875,23.709487915039062,6.980949878692627,8.277118682861328
2-23-2017,19:00:00,235.0329742431641,223.07107543945312,80.43673706054688,175.1002197265625,129.884765625,-0.0302176475524902,74.13787841796875,23.709487915039062,6.814943790435791,7.975952625274658
2-23-2017,20:00:00,234.8864898681641,222.957763671875,80.19891357421875,174.6055908203125,130.10269165039062,-0.0377717018127441,74.13787841796875,23.709487915039062,6.626299858093262,7.726571559906006
2-23-2017,21:00:00,235.0722503662109,223.30116271972656,80.23030853271484,175.25051879882812,130.13528442382812,-0.0302176475524902,74.13787841796875,23.709487915039062,6.413166046142578,7.574089050292969
2-23-2017,22:00:00,235.00848388671875,223.1260528564453,80.3956069946289,175.55111694335938,130.76153564453125,-0.0302176475524902,74.13787841796875,23.709487915039062,6.222110271453857,7.424293518066406
2-23-2017,23:00:00,235.0560302734375,223.0098876953125,80.2811279296875,175.65740966796875,130.35311889648438,-0.0377717018127441,74.13787841796875,23.709487915039062,5.872226238250732,7.09269905090332
2-24-2017,01:00:00,234.79275512695312,223.1733245849609,80.36976623535156,175.55111694335938,130.63629150390625,-0.0302176475524902,74.13787841796875,23.709487915039062,5.436684608459473,6.619829654693604
2-24-2017,02:00:00,235.04095458984372,223.3436737060547,80.38772583007812,175.40081787109375,130.63629150390625,-0.0377717018127441,74.13787841796875,23.709487915039062,5.343238353729248,6.489853382110596
2-24-2017,03:00:00,235.00901794433597,223.0452423095703,80.357666015625,175.40081787109375,130.76153564453125,-0.0302176475524902,74.13787841796875,23.709487915039062,5.335318565368652,6.547171592712402
2-24-2017,04:00:00,235.1416778564453,223.42068481445312,80.29013061523438,175.25051879882812,130.76153564453125,-0.0302176475524902,74.13787841796875,23.709487915039062,5.355100154876709,6.548069000244141
2-24-2017,05:00:00,235.0069580078125,223.064208984375,80.23095703125,175.05636596679688,130.35311889648438,-0.0302100181579589,74.13787841796875,23.709487915039062,5.463929176330566,7.021470069885254
2-24-2017,06:00:00,234.829345703125,223.1490936279297,80.31230163574219,174.90609741210938,130.72879028320312,-0.0302176475524902,74.13787841796875,23.709487915039062,5.658756732940674,7.398369789123535
2-24-2017,07:00:00,235.04855346679688,222.99668884277344,79.89056396484375,174.90609741210938,131.60531616210938,-0.0302176475524902,74.13787841796875,23.709487915039062,5.893360614776611,7.719710350036621
2-24-2017,08:00:00,234.96685791015625,223.05274963378903,79.6556625366211,174.79962158203125,131.01202392578125,-0.0302176475524902,74.13787841796875,23.709487915039062,6.312679290771484,8.239520072937012
2-24-2017,09:00:00,235.0892639160156,223.05841064453125,79.70423889160156,174.79962158203125,130.38577270507812,-0.0302176475524902,74.13787841796875,23.709487915039062,6.628139495849609,8.583521842956543
2-24-2017,10:00:00,235.20904541015625,223.6014404296875,79.71094512939453,174.79962158203125,130.63629150390625,-0.0302176475524902,74.13787841796875,23.709487915039062,6.927530288696289,8.81118392944336
2-24-2017,11:00:00,235.4029235839844,223.8897399902344,79.6756820678711,174.94992065429688,130.51101684570312,-0.0377717018127441,74.13787841796875,23.709487915039062,7.075769424438477,8.950514793395996
2-24-2017,12:00:00,235.0647430419922,223.7455291748047,79.69358825683594,175.1002197265625,130.76153564453125,-0.0302176475524902,74.13787841796875,23.709487915039062,7.034610748291016,8.829312324523926
2-24-2017,13:00:00,235.0975646972656,223.70677185058597,80.06635284423828,175.40081787109375,131.10443115234375,-0.0302176475524902,74.13787841796875,23.709487915039062,7.032293796539307,9.066539764404297
2-24-2017,14:00:00,234.9366455078125,223.6572265625,80.16319274902344,175.55111694335938,130.26052856445312,-0.0302176475524902,74.13787841796875,23.709487915039062,6.9812211990356445,9.092499732971191
2-24-2017,15:00:00,234.8733367919922,223.453369140625,80.24658966064453,175.65740966796875,130.47833251953125,-0.0377717018127441,74.13787841796875,23.709487915039062,6.915517807006836,8.979558944702148
2-24-2017,16:00:00,235.1297149658203,223.87347412109372,80.31741333007812,175.701416015625,129.884765625,-0.0302176475524902,74.13787841796875,23.709487915039062,6.771836757659912,8.811495780944824
2-24-2017,17:00:00,235.0716094970703,223.9014587402344,80.09390258789062,175.85174560546875,130.26052856445312,-0.0302176475524902,74.13787841796875,23.709487915039062,6.426432132720947,8.227471351623535
2-24-2017,18:00:00,234.83267211914065,223.3491058349609,80.28392028808594,175.80767822265625,130.47833251953125,-0.0377717018127441,74.13787841796875,23.709487915039062,6.26842737197876,8.036398887634277
2-24-2017,19:00:00,234.878173828125,223.6010284423828,80.06593322753906,175.65740966796875,130.10269165039062,-0.0302176475524902,74.13787841796875,23.709487915039062,6.157346248626709,7.632682800292969
2-24-2017,20:00:00,234.76168823242188,223.3646545410156,79.58348846435547,175.55111694335938,130.38577270507812,-0.0377717018127441,74.13787841796875,23.709487915039062,6.025782585144043,7.528960704803467
2-24-2017,21:00:00,234.92694091796875,223.36456298828125,79.50308990478516,175.55111694335938,130.51101684570312,-0.0302176475524902,74.13787841796875,23.709487915039062,5.822610378265381,7.370092868804932
2-24-2017,22:00:00,235.1265869140625,223.43051147460935,79.20238494873047,175.25051879882812,130.13528442382812,-0.0302176475524902,74.13787841796875,23.709487915039062,5.649086952209473,7.246828556060791
2-24-2017,23:00:00,235.05633544921875,223.1095428466797,79.26809692382812,174.94992065429688,130.63629150390625,-0.0302100181579589,74.13787841796875,23.709487915039062,5.504520416259766,6.886017322540283
2-25-2017,01:00:00,234.68685913085935,222.95770263671875,78.52592468261719,174.34872436523438,130.51101684570312,-0.0302176475524902,74.13787841796875,23.709487915039062,5.308140277862549,6.445408344268799
2-25-2017,02:00:00,234.8332672119141,223.0069732666016,78.04926300048828,174.19842529296875,130.51101684570312,-0.0302100181579589,74.13787841796875,23.709487915039062,5.251882553100586,6.422263145446777
2-25-2017,03:00:00,234.99253845214844,222.9484100341797,78.00853729248047,174.0045166015625,131.10443115234375,-0.0302100181579589,74.13787841796875,23.709487915039062,5.207061767578125,6.4965500831604
2-25-2017,04:00:00,234.8246154785156,222.751708984375,78.0323486328125,173.74752807617188,130.51101684570312,-0.0302100181579589,74.13787841796875,23.709487915039062,5.180857181549072,6.668462753295898
2-25-2017,05:00:00,234.7827911376953,222.80294799804688,77.80170440673828,173.59722900390625,130.10269165039062,-0.0302176475524902,74.13787841796875,23.709487915039062,5.346959590911865,6.722346305847168
2-25-2017,06:00:00,234.768310546875,222.94044494628903,77.28184509277344,173.44692993164062,130.13528442382812,-0.0302176475524902,74.13787841796875,23.709487915039062,5.42665433883667,6.784315586090088
2-25-2017,07:00:00,234.6318206787109,222.8622131347656,77.1443862915039,173.296630859375,131.01202392578125,-0.0302176475524902,74.13787841796875,23.709487915039062,5.393400192260742,6.876276016235352
2-25-2017,08:00:00,234.73753356933597,222.9818420410156,76.95218658447266,173.10293579101562,130.97921752929688,-0.0302176475524902,74.13787841796875,23.709487915039062,5.514256000518799,6.909639835357666
2-25-2017,09:00:00,234.7098388671875,223.3462371826172,77.14800262451172,173.55374145507812,130.85400390625,-0.0377717018127441,74.13787841796875,23.709487915039062,5.6443376541137695,7.362588882446289
2-25-2017,10:00:00,234.91864013671875,223.40817260742188,77.42230224609375,173.70401000976562,131.4801025390625,-0.0302176475524902,74.13787841796875,23.709487915039062,5.686734676361084,7.551345825195312
2-25-2017,11:00:00,234.9953155517578,223.93663024902344,77.81952667236328,174.19842529296875,131.01202392578125,-0.0377717018127441,74.13787841796875,23.709487915039062,5.720968723297119,7.606960296630859
2-25-2017,12:00:00,235.101806640625,224.56402587890625,78.2994613647461,174.6055908203125,130.35311889648438,-0.0377717018127441,74.13787841796875,23.709487915039062,5.892283916473389,7.757106781005859
2-25-2017,13:00:00,235.04405212402344,224.6640472412109,78.76547241210938,175.25051879882812,130.13528442382812,-0.0302176475524902,74.13787841796875,23.709487915039062,5.959564208984375,7.810137271881103
2-25-2017,14:00:00,235.015380859375,224.40786743164065,79.6004867553711,175.85174560546875,130.38577270507812,-0.0302100181579589,74.13787841796875,23.709487915039062,5.94913911819458,7.663366317749023
2-25-2017,15:00:00,234.9686737060547,224.1604766845703,80.02605438232422,176.40872192382812,130.2279052734375,-0.0377626419067382,74.13787841796875,23.709487915039062,5.911704063415527,7.642842769622803
